"text","emotion"
"Gönlüm pek mahzundur, çünkü beklediğim kişi görünmedi.","uzuntu"
"Bu taşkınlığa hiddet beslerim; sözünüz yara açtı.","kizginlik"
"Talihim karardı, çünkü muradım hâsıl olmadı.","uzuntu"
"Arzım odur ki haber ulaştırınız.","istek"
"Hududu aşıyorsunuz; bu kırıcı tavra tahammül edemem.","kizginlik"
"İçimde bir çekince doğdu sonu umulan gibi çıkmayabilir.","cekince"
"Bu niyazımı geri çevirmeyiniz, bir cevap veriniz.","istek"
"Hayretle sorarım, şu kararın dayanağı nasıl anlaşılır?","merak"
"Kadr ü kıymeti yüce efendim tevkir duygusuyla dile getiririm; feyzinize sığınırım.","saygi"
"Bu edepsizliğe içim kaynar.","kizginlik"
"Bununla beraber sonu umulan gibi çıkmayabilir; kesin söz söylemekte zorlanırım.","cekince"
"Bu zulme buna razı olmam.","kizginlik"
"Maalesef, çünkü dilimden neşe eksildi.","uzuntu"
"Allah'ın izniyle talih yüz gösterecek.","umut"
"Insafı terk etmişsiniz; bu taşkınlığa tahammül edemem.","kizginlik"
"Şüphem odur ki acele etmek münasip görünmez; bir kere daha düşünmek yerinde olur.","cekince"
"Keremkâr hazretleri dile getiririm; yol gösterişinizi pek kıymetli bilirim.","saygi"
"Cömert nazarınıza kalben müteşekkirim; yardımınız bana kuvvet verdi.","minnettarlik"
"Devletlü efendim tam bir tâzim ile ifade kılarım.","saygi"
"Bugün yüzüm gülmedi; beklediğim kişi görünmedi.","uzuntu"
"Rica eylerim kapıyı açtırınız; hâcetim buna yönelmiştir.","istek"
"İnşallah sabrın semeresi görünecek.","umut"
"Muhterem efendim tam bir tâzim ile sunarım.","saygi"
"İnşallah dertler hafifleyecek; tesellim bu yöndedir.","umut"
"Maalesef, çünkü dertlerim arttı.","uzuntu"
"Hayretle sorarım; bu gecikmenin sebebi neye bağlanır?","merak"
"Merak ederim ki bu yolun nereye varacağı ne suretle anlaşılır?","merak"
"Huzur-ı âlinize nihâyet ihtiram ile sunarım; buyruğunuz benim için makbuldür.","saygi"
"Kanaatimce bu karanlık dağılacak; ruhum böyle fısıldar.","umut"
"Bu nankörlüğe şiddetle karşı çıkarım.","kizginlik"
"Talebim budur, biraz mühlet tanıyınız.","istek"
"Insafı terk etmişsiniz; bu edepsizliğe şiddetle karşı çıkarım.","kizginlik"
"İstirham ederim mektubumu kabul buyurunuz; bu niyazımı geri çevirmeyiniz.","istek"
"Şerefli efendim derin bir saygı ile bildiririm; buyruğunuz benim için makbuldür.","saygi"
"Sözüm odur ki karar vermeden evvel düşünmek gerekir.","cekince"
"Yaptığınız iyiliğe karşı şükrümü arz ederim, kalbimde güzel bir iz bıraktınız.","minnettarlik"
"Zât-ı âlinize dolayı minnettarım.","minnettarlik"
"Huzur-ı âlinize tevkir duygusuyla dile getiririm.","saygi"
"İnâyetinize dolayı şükran duyarım.","minnettarlik"
"Doğrusu bu yolda bazı mahzurlar vardır.","cekince"
"Ümidim odur ki dertler hafifleyecek; içimden böyle geçer.","umut"
"İçimde bir çekince doğdu vaktin henüz olgunlaşmadığını sanırım.","cekince"
"Bu hâle şiddetle karşı çıkarım; vicdan buna susmaz.","kizginlik"
"Size iyiliğinizi unutamam; hatırınız bende daim oldu.","minnettarlik"
"Zihnimi meşgul eden sual şudur, bu hâlin sebebi hakkında bir izah var mıdır?","merak"
"Bu kadarı artık fazladır; bu söze hiddet beslerim.","kizginlik"
"Bugün yüzüm gülmedi, çünkü günüm kederle soldu.","uzuntu"
"Kerem buyurup meseleyi tekrar nazardan geçiriniz.","istek"
"Mümkün ise mektubumu kabul buyurunuz.","istek"
"İstirham ederim yardım elinizi uzatınız; bendenizi mahrum bırakmayınız.","istek"
"Talihim karardı, çünkü dertlerim arttı.","uzuntu"
"Kanaatim tam değildir işin görünmeyen tarafı ağır basabilir.","cekince"
"Bununla beraber sonu umulan gibi çıkmayabilir.","cekince"
"Olur ki muradımız gerçekleşecek.","umut"
"Zât-ı âlinize büyük bir edeple yâd ederim.","saygi"
"Keremkâr hazretleri takdim ederim; nüktelerinizden istifade ederim.","saygi"
"Bu işe hemen girişmek doğru olmayabilir; içimdeki tereddüt sürer.","cekince"
"Cömert nazarınıza borcumu kelâm ile ödeyemem; bu inceliği pek aziz bildim.","minnettarlik"
"Işim arzu ettiğim gibi gitmedi; hâlimi anlatmak müşkül oldu.","uzuntu"
"Kanaatimce talih yüz gösterecek.","umut"
"Gönlümce olan budur, biraz mühlet tanıyınız.","istek"
"Kanaatim tam değildir vaktin henüz olgunlaşmadığını sanırım.","cekince"
"Verdiğiniz desteğe hâlisâne teşekkür ederim; adıma büyük bir iyilik doğdu.","minnettarlik"
"Olur ki bu karanlık dağılacak; iyi günlerin yaklaşmakta olduğuna hükmederim.","umut"
"İstirham ederim yardım elinizi uzatınız.","istek"
"Allah'ın izniyle işler düzelecek; içimde bir ışık yanar.","umut"
"Yakında yarın daha aydınlık olacak; iyi günlerin yaklaşmakta olduğuna hükmederim.","umut"
"Şerefli efendim ifade kılarım; nazar-ı dikkatinize minnettarım.","saygi"
"Zât-ı âlinize tam bir tâzim ile dile getiririm.","saygi"
"Bu söze tahammül edemem.","kizginlik"
"İstirham ederim bu hususta izin veriniz.","istek"
"Güzel bir sabah gibi dertler hafifleyecek.","umut"
"Beklenen haber gelecek, buna inanırım.","umut"
"Cömert nazarınıza karşı minnettarım, kalbimde güzel bir iz bıraktınız.","minnettarlik"
"Günüm kederle soldu; sabrım ağır imtihana düştü.","uzuntu"
"Hayretle sorarım: beklenen haberin akıbeti nedendir?","merak"
"Allah'ın izniyle bu karanlık dağılacak.","umut"
"Dilimden neşe eksildi; hâlimi anlatmak müşkül oldu.","uzuntu"
"Sabrın semeresi görünecek, ruhum böyle fısıldar.","umut"
"Zât-ı âlinize şükrümü arz ederim; dertli hâlim teskin oldu.","minnettarlik"
"Merak ederim ki kapının neden kapalı kaldığı nasıl izah olunur?","merak"
"Maalesef; ayrılık ateşi içimi yaktı.","uzuntu"
"Bu yolda bazı mahzurlar vardır; ihtiyat daha evlâdır.","cekince"
"Hududu aşıyorsunuz; bu söze rızâ göstermem.","kizginlik"
"Gam beni sardı, çünkü günüm kederle soldu.","uzuntu"
"Ümit ederim muradımız gerçekleşecek; iyi günlerin yaklaşmakta olduğuna hükmederim.","umut"
"Sözünüz yara açtı; bu yersiz davranışa içim kaynar.","kizginlik"
"Kadr ü kıymeti yüce efendim bildiririm; nüktelerinizden istifade ederim.","saygi"
"Bu muamele kabul olunmaz; bu kırıcı tavra öfkelenirim.","kizginlik"
"Şüphem odur ki işin görünmeyen tarafı ağır basabilir; hemen hükme varmak istemem.","cekince"
"Dertler hafifleyecek, bu düşünce beni diri tutar.","umut"
"Bu dileğim samimîdir, bu işi geciktirmeyiniz.","istek"
"Esirgemediğiniz himmete bu lütfu daima yâd ederim; gönlüm ferah buldu.","minnettarlik"
"Gösterdiğiniz lütfa iyiliğinizi unutamam; müşkülüm çözüldü.","minnettarlik"
"Muhterem efendim derin bir saygı ile beyan eylerim; nüktelerinizden istifade ederim.","saygi"
"İnşallah muradımız gerçekleşecek; iyi günlerin yaklaşmakta olduğuna hükmederim.","umut"
"Bahtım suskun kaldı, çünkü muradım hâsıl olmadı.","uzuntu"
"Huzur-ı âlinize bildiririm; hükmünüze râm olurum.","saygi"
"Verdiğiniz desteğe karşı kalben müteşekkirim, yüküm hafifledi.","minnettarlik"
"Kalbim keder içindedir, çünkü günüm kederle soldu.","uzuntu"
"Allah'ın izniyle gönlümüz ferah bulacak; iyi günlerin yaklaşmakta olduğuna hükmederim.","umut"
"Kalbimde bir tereddüt vardır vaktin henüz olgunlaşmadığını sanırım; ayakları sıkı basmak gerekir.","cekince"
"Ne yazık ki, çünkü beklediğim kişi görünmedi.","uzuntu"
"Zihnimi meşgul eden sual şudur, bu yolun nereye varacağı hakkında bir izah var mıdır?","merak"
"Merak ederim ki mezkur sözün manası neye delâlet eder?","merak"
"İçimde bir çekince doğdu vaktin henüz olgunlaşmadığını sanırım; ihtiyat daha evlâdır.","cekince"
"Sözüm odur ki bu yolda bazı mahzurlar vardır; bu yüzden duraksarım.","cekince"
"Ümit ederim beklenen haber gelecek.","umut"
"Şüphem odur ki vaktin henüz olgunlaşmadığını sanırım; tedbir elden bırakılmamalıdır.","cekince"
"Gönlümde bir sual dolaşır, kapının neden kapalı kaldığı hakkında bir izah var mıdır?","merak"
"Gönlüm pek mahzundur; beklediğim kişi görünmedi.","uzuntu"
"Biraz ihtiyatla söylerim ki bu yolda bazı mahzurlar vardır.","cekince"
"İnâyetinize karşı iyiliğinizi unutamam, adıma büyük bir iyilik doğdu.","minnettarlik"
"Dertlerim arttı; sabrım ağır imtihana düştü.","uzuntu"
"Bu işe hemen girişmek doğru olmayabilir; bu yüzden duraksarım.","cekince"
"Şöyle bir sual var ki, vaktin niçin geciktiği hakkında bir izah var mıdır?","merak"
"Bahşettiğiniz vakte şükrümü arz ederim; duam sizden yana oldu.","minnettarlik"
"Gönlüm der ki muradımız gerçekleşecek.","umut"
"Kalbimde bir tereddüt vardır bu yolda bazı mahzurlar vardır.","cekince"
"Kanaatimce muradımız gerçekleşecek.","umut"
"Kerem buyurup bir cevap veriniz; talebim budur.","istek"
"Cömert nazarınıza bu lütfu daima yâd ederim; yüküm hafifledi.","minnettarlik"
"Zât-ı âlinize karşı borcumu kelâm ile ödeyemem, adıma büyük bir iyilik doğdu.","minnettarlik"
"Adalet duygusu zedelendi; bu edepsizliğe hiddet beslerim.","kizginlik"
"Rica eylerim bu işi geciktirmeyiniz; bendenizi mahrum bırakmayınız.","istek"
"Bununla beraber görünen kadar kolay değildir; ayakları sıkı basmak gerekir.","cekince"
"Mürüvvet buyurup kapıyı açtırınız.","istek"
"Huzur-ı âlinize beyan eylerim; hükmünüze râm olurum.","saygi"
"Bilmeyi isterim ki, vaktin niçin geciktiği hakkında bir izah var mıdır?","merak"
"Lütfedip hâlimi dinleyiniz.","istek"
"Bu söze şiddetle karşı çıkarım; hududu aşıyorsunuz.","kizginlik"
"Şerefli efendim samimî bir ihtiramla yâd ederim.","saygi"
"İçimde bir çekince doğdu işin görünmeyen tarafı ağır basabilir.","cekince"
"Güzel bir sabah gibi sabrın semeresi görünecek.","umut"
"Şunu öğrenmek muradıyla sorarım, vaktin niçin geciktiği hakkında bir izah var mıdır?","merak"
"Ümit ederim talih yüz gösterecek.","umut"
"Talebim budur, hâlimi dinleyiniz.","istek"
"Müteber efendim hâlisâne hürmetle zikrederim; himmetinizi daima aziz tutarım.","saygi"
"Temennim budur ki bu işi geciktirmeyiniz; bunu büyük bir arzu ile talep ederim.","istek"
"Lütufkâr efendim bihakkın ihtiram göstererek sunarım.","saygi"
"Devletlü efendim tam bir tâzim ile beyan eylerim; sözünüz başım üstündedir.","saygi"
"Zihnimi meşgul eden sual şudur vaktin niçin geciktiği nasıl izah olunur?","merak"
"Lâkin bu işe hemen girişmek doğru olmayabilir.","cekince"
"Işim arzu ettiğim gibi gitmedi; içimde bir boşluk kaldı.","uzuntu"
"Bu haksızlığa buna razı olmam.","kizginlik"
"Işler düzelecek, ruhum böyle fısıldar.","umut"
"Huzur-ı âlinize büyük bir edeple dile getiririm; nazar-ı dikkatinize minnettarım.","saygi"
"Ümit ederim bu karanlık dağılacak.","umut"
"İnâyetinize dolayı şükrümü arz ederim.","minnettarlik"
"Kalbimde bir tereddüt vardır acele etmek münasip görünmez; bir kere daha düşünmek yerinde olur.","cekince"
"İstirham ederim meseleyi tekrar nazardan geçiriniz.","istek"
"Kalbim keder içindedir, çünkü vaktim elem ile geçti.","uzuntu"
"Insafı terk etmişsiniz; bu kabalığa tahammül edemem.","kizginlik"
"Verdiğiniz desteğe dolayı minnettarım.","minnettarlik"
"Bu kırıcı tavra buna razı olmam; yaptığınız kalbi incitti.","kizginlik"
"Esirgemediğiniz himmete karşı hâlisâne teşekkür ederim, bu inceliği pek aziz bildim.","minnettarlik"
"Şerefli efendim kemâl-i hürmetle yâd ederim.","saygi"
"Huzur-ı âlinize bihakkın ihtiram göstererek ifade kılarım; nüktelerinizden istifade ederim.","saygi"
"Esirgemediğiniz himmete kalben müteşekkirim; kalbimde güzel bir iz bıraktınız.","minnettarlik"
"İnâyetinize karşı kalben müteşekkirim, duam sizden yana oldu.","minnettarlik"
"İnâyet ederseniz meseleyi tekrar nazardan geçiriniz; nihâyet arzum budur.","istek"
"Bu söze şiddetle karşı çıkarım.","kizginlik"
"Zât-ı âlinize büyük bir edeple ifade kılarım; hükmünüze râm olurum.","saygi"
"Dilerim ki biraz mühlet tanıyınız.","istek"
"Ümidim odur ki bu karanlık dağılacak; tesellim bu yöndedir.","umut"
"Kalbim keder içindedir, çünkü sevindirici haber gelmedi.","uzuntu"
"Gönlüm pek mahzundur, çünkü ümidim zayıf düştü.","uzuntu"
"Şerefli efendim derin bir saygı ile ifade kılarım.","saygi"
"Bu söze sabır gösteremem; bunun hesabı sorulmalıdır.","kizginlik"
"Şunu öğrenmek muradıyla sorarım o kimsenin maksadı nedir?","merak"
"Bu kırıcı tavra şiddetle karşı çıkarım.","kizginlik"
"Şerefli efendim tevkir duygusuyla beyan eylerim.","saygi"
"Muradım hâsıl olmadı; sessizlik beni yordu.","uzuntu"
"Gönlüm pek mahzundur, çünkü sevindirici haber gelmedi.","uzuntu"
"Hayretle sorarım: mektubun niçin cevapsız kaldığı nedendir?","merak"
"Bu edepsizliğe tahammül edemem.","kizginlik"
"Ettiğiniz ihsana gönülden şükrederim; müşkülüm çözüldü.","minnettarlik"
"Sözüm odur ki bu işe hemen girişmek doğru olmayabilir.","cekince"
"Kerem buyurup bu işi geciktirmeyiniz.","istek"
"Doğrusu vaktin henüz olgunlaşmadığını sanırım; hemen hükme varmak istemem.","cekince"
"Müteber efendim derin bir saygı ile huzurunuza koyarım; himmetinizi daima aziz tutarım.","saygi"
"Kalbim keder içindedir; vaktim elem ile geçti.","uzuntu"
"Bu kadarı artık fazladır; bu yersiz davranışa gönlüm isyan eder.","kizginlik"
"Yüreğim incindi; dilimden neşe eksildi.","uzuntu"
"Talihim karardı, çünkü dilimden neşe eksildi.","uzuntu"
"Mümkün ise bir cevap veriniz; rica olunur.","istek"
"Yolun niçin uzadığı niçin böyle olmuştur?","merak"
"Bu yolda bazı mahzurlar vardır; ayakları sıkı basmak gerekir.","cekince"
"Bu hâle tahammül edemem.","kizginlik"
"Kalbim keder içindedir; dilimden neşe eksildi.","uzuntu"
"Cömert nazarınıza minnettarım; adıma büyük bir iyilik doğdu.","minnettarlik"
"İzzetlü efendim ifade kılarım; işaretiniz benim için emirdir.","saygi"
"Yüreğim incindi; işim arzu ettiğim gibi gitmedi.","uzuntu"
"Bugün yüzüm gülmedi; dertlerim arttı.","uzuntu"
"Yüreğim incindi, çünkü dilimden neşe eksildi.","uzuntu"
"Sevindirici haber gelmedi; ruhum inceldi.","uzuntu"
"Lütfedip meseleyi tekrar nazardan geçiriniz; rica olunur.","istek"
"Ne yazık ki, çünkü vaktim elem ile geçti.","uzuntu"
"İçimde bir çekince doğdu bu yolda bazı mahzurlar vardır.","cekince"
"Mümkün ise meseleyi tekrar nazardan geçiriniz.","istek"
"Bu niyazımı geri çevirmeyiniz, yardım elinizi uzatınız.","istek"
"Bunun hesabı sorulmalıdır; bu taşkınlığa buna razı olmam.","kizginlik"
"İçim dardır; beklediğim kişi görünmedi.","uzuntu"
"Bu söze öfkelenirim; bu kadarı artık fazladır.","kizginlik"
"Kadr ü kıymeti yüce efendim samimî bir ihtiramla takdim ederim; işaretiniz benim için emirdir.","saygi"
"Olur ki dertler hafifleyecek; gözüm ufka çevrilidir.","umut"
"Cömert nazarınıza teşekkür borçluyum; kalbimde güzel bir iz bıraktınız.","minnettarlik"
"Sormak isterim vukû bulan işin aslı nedir?","merak"
"İçimde bir çekince doğdu acele etmek münasip görünmez.","cekince"
"Umarım muradımız gerçekleşecek.","umut"
"Devletlü efendim zikrederim; yol gösterişinizi pek kıymetli bilirim.","saygi"
"Gönlüm pek mahzundur, çünkü günüm kederle soldu.","uzuntu"
"Gönlüm pek mahzundur; dilimden neşe eksildi.","uzuntu"
"İnâyetinize dolayı borcumu kelâm ile ödeyemem.","minnettarlik"
"Açık söylemek gerekirse karar vermeden evvel düşünmek gerekir.","cekince"
"Yakında muradımız gerçekleşecek.","umut"
"Beklediğim kişi görünmedi; teselli bulamadım.","uzuntu"
"Sözüm odur ki bu işe hemen girişmek doğru olmayabilir; ayakları sıkı basmak gerekir.","cekince"
"Bu yersiz davranışa öfkelenirim.","kizginlik"
"Gösterdiğiniz lütfa şükran duyarım; gönlüm ferah buldu.","minnettarlik"
"Vaktim elem ile geçti; gönlüm ferahlanmadı.","uzuntu"
"Bilmeyi isterim ki o kimsenin maksadı hangi sebepten doğmuştur?","merak"
"Artık bıkkınlık verdi; bu hâle içim kaynar.","kizginlik"
"Vicdan buna susmaz; bu söze öfkelenirim.","kizginlik"
"Beklenen haberin akıbeti hakkında ne buyurulur?","merak"
"Şöyle bir sual var ki, kapının neden kapalı kaldığı hakkında bir izah var mıdır?","merak"
"Bu nankörlüğe pek gazap duyarım.","kizginlik"
"Bendenizi mahrum bırakmayınız, hâlimi dinleyiniz.","istek"
"Lâkin vaktin henüz olgunlaşmadığını sanırım.","cekince"
"Acaba bu hâlin sebebi ne vakit açıklık kazanır?","merak"
"Yaptığınız iyiliğe teşekkür borçluyum; yüküm hafifledi.","minnettarlik"
"Bu taşkınlığa rızâ göstermem; adalet duygusu zedelendi.","kizginlik"
"Ümidim odur ki kapılar açılacak; iyi günlerin yaklaşmakta olduğuna hükmederim.","umut"
"Günüm kederle soldu; teselli bulamadım.","uzuntu"
"Ettiğiniz ihsana karşı hâlisâne teşekkür ederim, duam sizden yana oldu.","minnettarlik"
"Arzım odur ki hâlimi dinleyiniz.","istek"
"Bahşettiğiniz vakte dolayı borcumu kelâm ile ödeyemem.","minnettarlik"
"Yüreğim incindi, çünkü ümidim zayıf düştü.","uzuntu"
"Gam beni sardı, çünkü dilimden neşe eksildi.","uzuntu"
"Sormak isterim, mezkur sözün manası hakkında bir izah var mıdır?","merak"
"Bu nankörlüğe rızâ göstermem.","kizginlik"
"Huzur-ı âlinize hâlisâne hürmetle zikrederim.","saygi"
"İnşallah gönlümüz ferah bulacak; tesellim bu yöndedir.","umut"
"Bu edepsizliğe pek gazap duyarım; bu muamele kabul olunmaz.","kizginlik"
"Ümidim odur ki yarın daha aydınlık olacak; kalbim buna meyleder.","umut"
"Merak ederim ki, vukû bulan işin aslı hakkında bir izah var mıdır?","merak"
"Zât-ı âlinize bu lütfu daima yâd ederim; hatırınız bende daim oldu.","minnettarlik"
"Gönlüm pek mahzundur; ümidim zayıf düştü.","uzuntu"
"Müteber efendim tam bir tâzim ile dile getiririm; sözünüz başım üstündedir.","saygi"
"Kerem buyurup bu hususta izin veriniz; nihâyet arzum budur.","istek"
"Bu dileğim samimîdir, bu hususta izin veriniz.","istek"
"Adalet duygusu zedelendi; bu nankörlüğe içim kaynar.","kizginlik"
"Temennim budur ki bir cevap veriniz.","istek"
"Esirgemediğiniz himmete dolayı borcumu kelâm ile ödeyemem.","minnettarlik"
"Günüm kederle soldu; gözüm yaşa meyletti.","uzuntu"
"Bu yersiz davranışa rızâ göstermem.","kizginlik"
"Hayretle sorarım, bu rivayetin nereden doğduğu nasıl anlaşılır?","merak"
"Acele etmek münasip görünmez; tedbir elden bırakılmamalıdır.","cekince"
"Bahşettiğiniz vakte gönülden şükrederim; kalbimde güzel bir iz bıraktınız.","minnettarlik"
"Şüphem odur ki her işaret güven vermiyor; bir kere daha düşünmek yerinde olur.","cekince"
"Kerem buyurup mektubumu kabul buyurunuz.","istek"
"Acaba vukû bulan işin aslı ne suretle anlaşılır?","merak"
"Bu haksızlığa şiddetle karşı çıkarım; sözünüz yara açtı.","kizginlik"
"Şerefli efendim tam bir tâzim ile sunarım; hükmünüze râm olurum.","saygi"
"İnâyet ederseniz haber ulaştırınız.","istek"
"Bu kabalığa içim kaynar; hududu aşıyorsunuz.","kizginlik"
"Keremkâr hazretleri kemâl-i hürmetle beyan eylerim; sözünüz başım üstündedir.","saygi"
"Şöyle bir sual var ki, o kimsenin maksadı hakkında bir izah var mıdır?","merak"
"Bu haksızlığa buna razı olmam; vicdan buna susmaz.","kizginlik"
"Bu rivayetin nereden doğduğu niçin böyle olmuştur?","merak"
"Lütfedip bu hususta izin veriniz; rica olunur.","istek"
"Gönlüm pek mahzundur; muradım hâsıl olmadı.","uzuntu"
"Devletlü efendim kemâl-i hürmetle sunarım; feyzinize sığınırım.","saygi"
"Karar vermeden evvel düşünmek gerekir; ayakları sıkı basmak gerekir.","cekince"
"Merak ederim ki, bu yolun nereye varacağı hakkında bir izah var mıdır?","merak"
"Huzur-ı âlinize ifade kılarım; himmetinizi daima aziz tutarım.","saygi"
"Maalesef, çünkü sevindirici haber gelmedi.","uzuntu"
"Vaktin henüz olgunlaşmadığını sanırım; bu yüzden duraksarım.","cekince"
"Kanaatim tam değildir görünen kadar kolay değildir; bu sebeple temkinli davranırım.","cekince"
"Kalbimde bir tereddüt vardır görünen kadar kolay değildir.","cekince"
"Maalesef; vaktim elem ile geçti.","uzuntu"
"Hayretle sorarım, meclisteki sessizliğin hikmeti nasıl anlaşılır?","merak"
"Bendenizi mahrum bırakmayınız, mektubumu kabul buyurunuz.","istek"
"Cömert nazarınıza karşı şükrümü arz ederim, kalbimde güzel bir iz bıraktınız.","minnettarlik"
"Yaptığınız kalbi incitti; bu zulme pek gazap duyarım.","kizginlik"
"Müteber efendim büyük bir edeple beyan eylerim; nazar-ı dikkatinize minnettarım.","saygi"
"Adalet duygusu zedelendi; bu hâle buna razı olmam.","kizginlik"
"Temennim budur ki bu işi geciktirmeyiniz.","istek"
"Ettiğiniz ihsana karşı gönülden şükrederim, dertli hâlim teskin oldu.","minnettarlik"
"Lâkin görünen kadar kolay değildir; bir kere daha düşünmek yerinde olur.","cekince"
"Allah'ın izniyle talih yüz gösterecek; tesellim bu yöndedir.","umut"
"Devletlü efendim dile getiririm; hükmünüze râm olurum.","saygi"
"Sözüm odur ki vaktin henüz olgunlaşmadığını sanırım; gönlüm tam mutmain değildir.","cekince"
"Bu yolda bazı mahzurlar vardır; tedbir elden bırakılmamalıdır.","cekince"
"Şüphem odur ki görünen kadar kolay değildir; bir kere daha düşünmek yerinde olur.","cekince"
"Kerem buyurup bir cevap veriniz.","istek"
"İçimde bir çekince doğdu bu işe hemen girişmek doğru olmayabilir.","cekince"
"Yüreğim incindi, çünkü sevindirici haber gelmedi.","uzuntu"
"Muhterem efendim takdim ederim; feyzinize sığınırım.","saygi"
"İnşallah muradımız gerçekleşecek.","umut"
"Bu hâle öfkelenirim; hududu aşıyorsunuz.","kizginlik"
"Cömert nazarınıza dolayı bu lütfu daima yâd ederim.","minnettarlik"
"Mümkün ise mektubumu kabul buyurunuz; hâcetim buna yönelmiştir.","istek"
"Kalbimde bir tereddüt vardır söylenenler tam yerini bulmayabilir.","cekince"
"Gönlümde bir sual dolaşır bu hâlin sebebi nasıldır?","merak"
"Işin görünmeyen tarafı ağır basabilir; gönlüm tam mutmain değildir.","cekince"
"Şüphem odur ki söylenenler tam yerini bulmayabilir; kesin söz söylemekte zorlanırım.","cekince"
"Rica eylerim yardım elinizi uzatınız.","istek"
"Olur ki bu karanlık dağılacak.","umut"
"Size borcumu kelâm ile ödeyemem; yardımınız bana kuvvet verdi.","minnettarlik"
"İnşallah kapılar açılacak; gözüm ufka çevrilidir.","umut"
"Şerefli efendim nihâyet ihtiram ile bildiririm; nazar-ı dikkatinize minnettarım.","saygi"
"Zihnimi meşgul eden sual şudur, o kimsenin maksadı hakkında bir izah var mıdır?","merak"
"Açık söylemek gerekirse bu işe hemen girişmek doğru olmayabilir.","cekince"
"Ümit ederim kapılar açılacak; ruhum böyle fısıldar.","umut"
"Her işaret güven vermiyor; ihtiyat daha evlâdır.","cekince"
"Şunu öğrenmek muradıyla sorarım, bu yolun nereye varacağı hakkında bir izah var mıdır?","merak"
"Gönlüm der ki sabrın semeresi görünecek.","umut"
"Günüm kederle soldu; hâlimi anlatmak müşkül oldu.","uzuntu"
"Bu yersiz davranışa rızâ göstermem; hududu aşıyorsunuz.","kizginlik"
"İzzetlü efendim kemâl-i hürmetle takdim ederim; iradenizden ayrılmam.","saygi"
"Lâkin acele etmek münasip görünmez; bu yüzden duraksarım.","cekince"
"Biraz ihtiyatla söylerim ki vaktin henüz olgunlaşmadığını sanırım; içimdeki tereddüt sürer.","cekince"
"Bu dileğim samimîdir, biraz mühlet tanıyınız.","istek"
"İnâyetinize şükran duyarım; yüküm hafifledi.","minnettarlik"
"Görünen kadar kolay değildir; hemen hükme varmak istemem.","cekince"
"Kalbim keder içindedir; ümidim zayıf düştü.","uzuntu"
"Kalbim keder içindedir; işim arzu ettiğim gibi gitmedi.","uzuntu"
"Lütfedip bu hususta izin veriniz.","istek"
"Mürüvvet buyurup yardım elinizi uzatınız.","istek"
"Zât-ı âlinize kalben müteşekkirim; yüküm hafifledi.","minnettarlik"
"Gam beni sardı; dilimden neşe eksildi.","uzuntu"
"İnşallah beklenen haber gelecek; bu düşünce beni diri tutar.","umut"
"Zât-ı âlinize dolayı bu lütfu daima yâd ederim.","minnettarlik"
"Lütfedip haber ulaştırınız.","istek"
"Hududu aşıyorsunuz; bu kabalığa hiddet beslerim.","kizginlik"
"Yüreğim incindi; dertlerim arttı.","uzuntu"
"Nihâyet arzum budur, mektubumu kabul buyurunuz.","istek"
"Biraz ihtiyatla söylerim ki bu işe hemen girişmek doğru olmayabilir.","cekince"
"Arzım odur ki bu hususta izin veriniz.","istek"
"Zât-ı âlinize gönülden şükrederim; duam sizden yana oldu.","minnettarlik"
"Bahşettiğiniz vakte karşı iyiliğinizi unutamam, duam sizden yana oldu.","minnettarlik"
"İnâyetinize karşı minnettarım, yüküm hafifledi.","minnettarlik"
"Sormak isterim mezkur sözün manası nedir?","merak"
"Allah'ın izniyle sabrın semeresi görünecek.","umut"
"Bugün yüzüm gülmedi, çünkü işim arzu ettiğim gibi gitmedi.","uzuntu"
"Devletlü efendim kemâl-i hürmetle takdim ederim.","saygi"
"Ne yazık ki, çünkü ümidim zayıf düştü.","uzuntu"
"Kanaatim tam değildir bu işe hemen girişmek doğru olmayabilir; içimdeki tereddüt sürer.","cekince"
"Hayretle sorarım: şu kararın dayanağı nedendir?","merak"
"Zât-ı âlinize nihâyet ihtiram ile beyan eylerim; feyzinize sığınırım.","saygi"
"Muradım hâsıl olmadı; içimde bir boşluk kaldı.","uzuntu"
"Sözüm odur ki sonu umulan gibi çıkmayabilir.","cekince"
"Şöyle bir sual var ki yarınki ahvâl nasıldır?","merak"
"Maalesef, çünkü ümidim zayıf düştü.","uzuntu"
"Sormak isterim kapının neden kapalı kaldığı nedir?","merak"
"Size karşı kalben müteşekkirim, müşkülüm çözüldü.","minnettarlik"
"Bahşettiğiniz vakte bu lütfu daima yâd ederim; gönlüm ferah buldu.","minnettarlik"
"Sormak isterim, işbu rivayetin doğruluğu hakkında bir izah var mıdır?","merak"
"Zât-ı âlinize tevkir duygusuyla beyan eylerim; nüktelerinizden istifade ederim.","saygi"
"Mürüvvet buyurup bu işi geciktirmeyiniz; nihâyet arzum budur.","istek"
"Olur ki yarın daha aydınlık olacak; bu düşünce beni diri tutar.","umut"
"Gönlüm der ki bu karanlık dağılacak.","umut"
"Esirgemediğiniz himmete dolayı minnettarım.","minnettarlik"
"Bilmeyi isterim ki, bu işteki hikmet hakkında bir izah var mıdır?","merak"
"Gam beni sardı; ayrılık ateşi içimi yaktı.","uzuntu"
"Ne yazık ki; ayrılık ateşi içimi yaktı.","uzuntu"
